order;name;duration;side;description
1;Floor Slides;25;;Lay down on floor, knees up, swing arms
2;Clamshells;20;Left;Curl legs, one leg up and down
3;Clamshells;20;Right;Curl legs, one leg up and down
4;Hip burner;20;Left;Lay down on one side, leg up and down
5;Hip burner;20;Right;Lay down on one side, leg up and down
6;High plank;20;;
7;Recover;30;;
8;Isometric bear crawl with Toe taps;50;;Table top, knees up, move heel up and down
9;Recover;10;;
10;Flying shoulder presses;30;;Superman arms extended
11;Recover;10;;
12;Isometric bear crawl with Toe taps;50;;Table top, knees up, move heel up and down
13;Recover;10;;
14;Flying shoulder presses;30;;Superman arms extended
15;Recover;10;;
16;Isometric bear crawl with Toe taps;50;;Table top, knees up, move heel up and down
17;Recover;10;;
18;Flying shoulder presses;30;;Superman arms extended
19;Recover;10;;
20;Airplane;20;Left;Standing then move to airplane position
21;Airplane;20;Right;Standing then move to airplane position
22;Recover;10;;
23;Alternating superman;20;;Superman, arms over head, raise opposite arm and leg
24;Recover;10;;
25;Dead bugs;20;;Lay down, arms and knees up, move arm to over head and leg down
26;Recover;10;;
27;Airplane;20;Left;Standing then move to airplane position
28;Airplane;20;Right;Standing then move to airplane position
29;Recover;10;;
30;Alternating superman;20;;Superman, arms over head, raise opposite arm and leg
31;Recover;10;;
32;Dead bugs;20;;Lay down, arms and knees up, move arm to over head and leg down
33;Recover;10;;
34;Airplane;20;Left;Standing then move to airplane position
35;Airplane;20;Right;Standing then move to airplane position
36;Recover;10;;
37;Alternating superman;20;;Superman, arms over head, raise opposite arm and leg
38;Recover;10;;
39;Dead bugs;20;;Lay down, arms and knees up, move arm to over head and leg down
40;Recover;30;;
41;Isometric elevated push-up;20;;Plank with hands on bed
42;Drop squats;15;;Fast squat, arm swings to behind
43;Short lever side plank;10;Left;Plank on side, curl knees, other arm up in the air
44;Short lever side plank;10;Right;Plank on side, curl knees, other arm up in the air
45;Recover;30;;
46;Isometric elevated push-up;20;;Plank with hands on bed
47;Drop squats;15;;Fast squat, arm swings to behind
48;Short lever side plank;10;Left;Plank on side, curl knees, other arm up in the air
49;Short lever side plank;10;Right;Plank on side, curl knees, other arm up in the air
50;Recover;30;;
51;Side Lying T stretch;30;Left;Lay down on side, one arm up in the air to the ground
52;Side Lying T stretch;30;Right;Lay down on side, one arm up in the air to the ground
53;Kneeling quadriceps stretch;30;Left;knee as a knight, one arm over head
54;Kneeling quadriceps stretch;30;Right;knee as a knight, one arm over head
55;Bird dogs;30;;Table top, opposite arm and leg raise
56;Standing forward fold;30;;Fold, hands to toes
