order;name;duration;side;description
1;Quad rockers;20;;Child pose back and forth
2;Quadruped fire hydrant circles forward;30;Left;Table top, leg circling
3;Quadruped fire hydrant circles backward;30;Left;Table top, leg circling
4;Quadruped fire hydrant circles forward;30;Right;Table top, leg circling
5;Quadruped fire hydrant circles backward;30;Right;Table top, leg circling
6;Recover;15;;
7;Hip twisters 90-90;20;Left;Pigeon, arms to front swing left to right and back
8;Hip twisters 90-90;20;Right;Pigeon, arms to front swing left to right and back
9;Frog;30;;Arms on the floor, stretch inner thigh
10;Modified pigeon pose with single-arm reach;30;Left;
11;Modified pigeon pose with single-arm reach;30;Right;
12;Knee hugs;30;;Stand up and hug knees
13;Hip Cradles;30;;Stand up and hug knee and foot
14;World's greatest stretch;30;Left;Warior, arm on floor then swing up
15;World's greatest stretch;30;Right;Warior, arm on floor then swing up
16;Bottom up squats;30;;Arms high, low squat
17;Recover;30;;
18;Quad rockers;30;;Child pose back and forth
19;Quadruped fire hydrant circles forward;30;Left;Table top, leg circling
20;Quadruped fire hydrant circles backward;30;Left;Table top, leg circling
21;Quadruped fire hydrant circles forward;30;Right;Table top, leg circling
22;Quadruped fire hydrant circles backward;30;Right;Table top, leg circling
23;Recover;15;;
24;Hip twisters 90-90;20;Left;Pigeon, arms to front swing left to right and back
25;Hip twisters 90-90;20;Right;Pigeon, arms to front swing left to right and back
26;Frog;30;;Arms on the floor, stretch inner thigh
27;Modified pigeon pose with single-arm reach;30;Left;
28;Modified pigeon pose with single-arm reach;30;Right;
29;Knee hugs;30;;Stand up and hug knees
30;Hip Cradles;30;;Stand up and hug knee and foot
31;World's greatest stretch;30;Left;Warior, arm on floor then swing up
32;World's greatest stretch;30;Right;Warior, arm on floor then swing up
33;Bottom up squats;30;;Arms high, low squat
34;Hip burner;20;Left;Lay down on one side, leg up and down
35;Hip burner;20;Right;Lay down on one side, leg up and down
36;Hollow body hold;40;;Lay down, legs up 45 degree, swing arms up and down over head
37;Clamshells;20;Left;Curl legs, one leg up and down
38;Clamshells;20;Right;Curl legs, one leg up and down
39;Hollow body hold;40;;Lay down, legs up 45 degree, swing arms up and down over head
40;Sumo squat hold;30;;Low squat, don't stand up, rock left to right to stretch inner thigh
41;Bench hip thrust;30;;Back on bed, legs on floor, push legs
42;Hollow body hold;40;;Lay down, legs up 45 degree, swing arms up and down over head
43;Hip burner;20;Left;Lay down on one side, leg up and down
44;Hip burner;20;Right;Lay down on one side, leg up and down
45;Hollow body hold;40;;Lay down, legs up 45 degree, swing arms up and down over head
46;Clamshells;20;Left;Curl legs, one leg up and down
47;Clamshells;20;Right;Curl legs, one leg up and down
48;Hollow body hold;40;;Lay down, legs up 45 degree, swing arms up and down over head
49;Sumo squat hold;30;;Low squat, don't stand up, rock left to right to stretch inner thigh
50;Bench hip thrust;30;;Back on bed, legs on floor, push legs
51;Hollow body hold;40;;Lay down, legs up 45 degree, swing arms up and down over head
52;Recover;15;;
